Description,TotalSalesDollars,ProfitMargin
Carmel Road Chard Liberated,191.76,35.04380475594493
Carmel Road Pnt Gris,111.48,31.001076426264802
Carmel Road The Barrymore PG,842.4900000000002,19.051858182292985
Carnaval Red Moscato Sparklg,175.84,51.000909918107375
Carol Shelton Rocky Rsv Znfd,782.7600000000001,22.04507128621802
Carol Shelton Wild Thing Zin,134.9,22.075611564121573
Carpineto Molin Vecchio,479.8,33.34722801167153
Cartlidge & Browne Cab Svgn,167.88,33.30950679056469
Casa E Mirafiori Barb d'Alba,972.6300000000002,79.85256469572191
Casa Ferreirinha Papas Figos,509.6600000000002,30.35356904603072
Casa Julia Merlot Rapel,215.82,55.24047817625799
Casa Liliana Good Chard,582.4700000000003,95.36456813226432
Casa Liliana Good Merlot,142.87,81.82963533282003
Casa Noble Repsdo La Carreta,695.88,25.366442490084495
Casal Garcia Duoro Red,231.71,18.89862327909887
Casas Del Bosque Sauv Bl,740.5999999999999,22.938158250067513
Casoni Limoncello di Sorento,833.9900000000005,48.56053429897244
Castello Banfi Excelsus,655.9,3.245921634395499
Castello Di Cacchiano Chiant,799.8000000000001,80.0
Castello del Poggio Rosato,714.2100000000004,31.196706850926237
Cataldi Madonna Malandrino,782.4200000000002,84.9633189335651
Catena Malbec Mendoza,107.88,31.92436040044494
Catena Zapata Nicasia Vyd,719.92,74.48883209245471
Cave de Tain Syrah,503.64,31.52251608291637
Cavit Chard,188.79,50.548228190052434
Cavit Pinot Grigio Del Vene,239.52,33.26653306613226
Cavit Pinot Noir Bottega Vi,359.76,32.88859239492995
Cavit Select Red Blend,647.2800000000003,89.40952910641454
Cazadores Anejo Tequila,389.87,59.81737502244337
Cecchi Natio Organic Chianti,735.0800000000004,98.57974642215812
Celani Family Cab Svgn,311.96,31.0296191819464
Celani Family Chard,610.87,64.58002520994647
Cella Lambrusco,71.94,35.446205170975816
Cellier des Dauphines CdR,95.88,33.79224030037547
Celtic Honey Liqueur,659.7000000000002,65.93906321055026
Cercius CdR Vielles V Rouge,429.6900000000001,16.139542460843877
Ceretto Arneis Blange Lange,742.63,35.81729798149819
Cesari Valpo Classico,989.3400000000004,73.60967918005944
Ch Beaulieu Rose Cote d Prov,575.04,34.557595993322195
Ch Beausejour Pentimento,575.76,38.89120466861192
Ch Bois du Fil Brdx,179.88,34.2228152101401
Ch Brane Cantenac Margaux 11,649.9,41.560240036928754
Ch Cantegril Sauternes 11,449.7500000000001,70.06336853807672
Ch Clerc Milon 12 Pauillac,629.91,85.56936705243606
Ch Clos Fourtet 10 Brdx,533.97,35.485139614585094
Ch Coufran Haut Medoc 10,689.77,62.81514127897705
Ch Coutet Sauternes-Barsc 10,874.9300000000001,71.04339775753489
Ch Doisy Daene Sauternes 10,961.87,42.442325886034496
Ch Doisy-Daene Sauternes 11,419.86,85.61663411613395
Ch Fonroque St Emilion 10,103.98,67.53221773417964
Ch Fontenil Fronsac 10,899.8000000000001,62.5794621026895
Ch Fugue de Nenin 09,173.94,54.949982752673336
Ch Fuisse Pouilly Fuisse Les,809.85,72.4171142804223
Ch Godeau St Emilion 10 Cru,125.97,77.16916726204651
Ch Haut Bages Liberal Paulic,741.86,85.32472434151997
Ch Haut Beausejour 11 Esteph,809.7000000000002,93.33456835865135
Ch Haut Branda Brdx Rouge,298.73,25.765741639607683
Ch Haut Piquat 09,626.6700000000001,95.84789442609349
Ch Haut-BrionPessac-Leo Gr C,299.99,35.484516150538354
Ch Hermitage Mazeyres Pomerl,332.91,13.41804091195819
Ch Hyot Castillon Brdx,629.82,92.38830141945319
Ch Jean De Gue Lalande 10,386.91,62.21343464888476
Ch Julien Royalty Red,63.48,34.97164461247637
Ch L'Englise Clinet St Emiln,947.94,35.06551047534655
Ch La Croix du Duc Brdx,505.5400000000002,30.458519602800994
Ch La Dom St Emil Gr Cru 09,334.95,73.33333333333334
Ch La Fleur Patris-Querre 09,493.81000000000006,96.39537473927219
Ch La Gordonne Chapelle Rose,167.94,88.74002619983328
Ch La Louviere Pssc-Leg Roug,727.72,68.84516022646072
Ch Lacoste-Borie Pauillac 10,644.85,73.33333333333333
Ch Les Flefs de LaGrange 10,494.89000000000004,58.40085675604681
Ch Lestiac Cotes de Bordeaux,9.49,35.08956796628029
Ch Lilian 09 Ladouys St Este,665.82,71.33159112072333
Ch Malartic-Lagraviere 10,245.97,35.47993657763142
Ch Malartic-Lagraviere Rouge,235.96,67.10459399898288
Ch Marquis d'Alesme,443.88,31.981616653149498
Ch Massiac Viognier,764.4900000000001,22.065690852725364
Ch Maycott Red,10.49,35.081029551954245
Ch Moncontour Vouvray Demi S,474.71000000000004,42.364812201133326
Ch Monestier La Tour Blanc,179.88,42.96197464976651
Ch Montelena Est Cab Svgn Np,909.9300000000001,72.1703867330454
Ch Motte Maucourt Brdx,179.88,34.62308205470313
Ch Musar Hochar Red,329.89,81.44836157507048
Ch Musar Jeune Rouge,239.88,31.96598299149575
Ch Pagodes de Cos 10 Brdx,99.99,67.53675367536755
Ch Perron Brdx Rouge,263.88,33.78808549340609
Ch Pesquie Quint Ventoux Red,263.88000000000005,35.47066848567532
Ch Petit Bocq Cru Borgeos 10,319.9,93.37605501719287
Ch Phelan Segur St Estephe,835.7800000000001,76.23297997080572
Ch Poujeaux 10 Moulis,866.83,77.08201146706968
Ch Rauzan Segla Margaux 09,319.98,66.66666666666667
Ch Reserve d La Cometesse 11,689.85,95.4337899543379
Ch Roumier-Lacoste Barsac W,74.97,31.052420968387356
Ch St-Roch Chimeres CdRoussi,735.5400000000003,15.816950811648613
Ch Ste Michelle Chard Mimi,649.35,37.62993762993763
Ch Ste Michelle Cold Crk Rsl,851.4000000000004,23.890063424947183
Ch Suau Cadillac Wh Brdx,71.94,33.778148457047536
Ch Talbot St Julien 11 GC,439.92,67.73958901618475
Ch Thivin Cote de Brouilly,528.7700000000001,85.31497626567317
Ch Troplong Mondot 10 Brdx,719.97,33.334722280095
Ch Valcombe Rose Ventoux,223.85999999999999,43.60761190029482
Ch Vignot 05 St Emilion Red,824.89,87.96203130114318
Ch de Beaucastel Pape Blanc,999.92,82.87663013041043
Ch de Beaucastel Pape Rouge,823.96,49.99878634885189
